id,title,is_paid,price,num_subscribers,avg_rating,num_reviews,num_lectures,Level,content_length_min,published_time,category,course_url
468182,Ilustración de la A a la Z,TRUE,20,33,4.529032,3,19,Intermediate Level,3,2015-06-08T16:42:57Z,Graphic Design,https://www.udemy.com/ilustracion-de-la-a-a-la-z/
468726,Learning Axure RP,TRUE,75,631,4.75,103,65,Intermediate Level,4.5,2015-04-08T19:29:35Z,Web Development,https://www.udemy.com/learning-axure-rp/
469526,Trading Biotech Stocks - Understanding the Healthcare Sector,TRUE,55,166,3.1,17,16,Intermediate Level,1.5,2015-04-24T21:22:27Z,Business Finance,https://www.udemy.com/trading-biotech-stocks/
469678,Wordpress on AWS: The Easy way to AWS for Free Fast hosting ,TRUE,40,245,4.5,23,36,Intermediate Level,1,2015-08-11T23:47:57Z,Web Development,https://www.udemy.com/wordpress-on-aws-the-easy-way-to-aws-for-free-fast-hosting-amazon/
469848,Einnahmen aus Udemy-Kursen als Dozent korrekt versteuern,TRUE,30,66,4.15,16,11,Beginner Level,1,2015-04-09T18:14:44Z,Business Finance,https://www.udemy.com/einnahmen-aus-udemy-kursen-als-dozent-korrekt-versteuern/
470288,EMMET Faster HTML & CSS workflow - Best Tool For Developers ,FALSE,0,26697,3.9,1097,20,Intermediate Level,1,2015-04-09T16:36:06Z,Web Development,https://www.udemy.com/emmet-start-coding-html-and-css-fast-and-easy/
470412,"Essential HTML, CSS & HTML5 Training",TRUE,50,1553,4.55,35,43,Beginner Level,5.5,2015-04-12T22:20:58Z,Web Development,https://www.udemy.com/essential-html-css-html5-training/
470472,Learn to Play Euphonium: Beginner to Pro in Under Five Hours,TRUE,50,305,4.2,39,108,Beginner Level,7,2015-04-16T00:39:46Z,Musical Instruments,https://www.udemy.com/beginning-euphonium/
470482,"Master the Euphonium with Simple, Intermediate Instruction!",TRUE,50,120,3.4285715,6,106,Intermediate Level,8,2015-04-16T16:29:41Z,Musical Instruments,https://www.udemy.com/intermediate-euphonium/
471136,Creating 2D Game Assets,TRUE,25,57,4.2,0,12,Intermediate Level,2,2015-04-17T22:34:55Z,Graphic Design,https://www.udemy.com/creating-2d-game-assets/
471328,Advanced Euphonium Studies - Learn to Master the Euphonium!​,TRUE,50,106,4.35,7,89,Intermediate Level,6,2015-04-16T16:43:45Z,Musical Instruments,https://www.udemy.com/advanced-euphonium/
471352,"Euphonium Solos: Learn to Perform Three Fun, Unique Pieces!",TRUE,50,90,4.7,2,61,Intermediate Level,2.5,2015-04-16T16:55:20Z,Musical Instruments,https://www.udemy.com/intermediate-euphonium-solos/
471428,Crash Course on Cost of Capital and Capital Structuring,FALSE,0,5007,3.9,41,19,Intermediate Level,3,2015-04-13T17:52:57Z,Business Finance,https://www.udemy.com/crash-course-on-cost-of-capital-and-capital-structuring/
471440,Accounting and Finance for Bankers - A Comprehensive Study,TRUE,180,3056,3.25,9,316,Intermediate Level,24.5,2015-04-10T19:24:28Z,Business Finance,https://www.udemy.com/crash-course-on-financial-management/
471446,Cost Accounting Crash Course,TRUE,20,3730,4.55,11,17,Intermediate Level,2.5,2015-04-10T21:01:47Z,Business Finance,https://www.udemy.com/crash-course-on-cost-accounting/
471546,Crash Course on Working Capital Management,TRUE,20,3177,4.6,8,8,Intermediate Level,1,2015-04-16T17:35:54Z,Business Finance,https://www.udemy.com/crash-course-on-working-capital-management/
471556,Financial Management Budgeting Techniques,TRUE,20,2045,4.05,3,10,Intermediate Level,2,2015-04-12T16:28:31Z,Business Finance,https://www.udemy.com/learn-cash-budgeting-techniques/
471588,Learn how to INVEST for huge profits or make it big trading!,TRUE,50,701,4.5931373,12,37,Intermediate Level,5.5,2015-06-19T22:49:13Z,Business Finance,https://www.udemy.com/learn-how-to-invest-for-huge-profits-or-make-9k-day-trading/
472526,PHP for Beginners,TRUE,40,2626,4.6,95,135,Beginner Level,6,2015-07-01T18:55:13Z,Web Development,https://www.udemy.com/learn-php-via-examples-and-mini-tasks/
472592,App Design + Web Design + Photoshop = Combined Course,TRUE,115,1087,4.15,6,24,Beginner Level,2,2015-04-27T21:32:04Z,Graphic Design,https://www.udemy.com/photoshop-superhero/
473160,Web Design for Web Developers: Build Beautiful Websites!,FALSE,0,98867,4.3,6512,20,Intermediate Level,3,2015-04-13T18:29:47Z,Web Development,https://www.udemy.com/web-design-secrets/
473338,Wordpress Security,TRUE,95,2888,4.4545455,26,24,Intermediate Level,2.5,2015-04-13T17:53:02Z,Web Development,https://www.udemy.com/easy-wordpress-security/
473474,Mastering Realistic Real Life Drawing with Pencil,TRUE,20,33,4.4,5,12,Beginner Level,0.65,2015-04-20T18:08:39Z,Graphic Design,https://www.udemy.com/mastering-realistic-real-life-drawing-with-pencil/
473548,PHP OOP: Object Oriented Programming for beginners + Project,TRUE,200,6497,4.642857,901,221,Intermediate Level,18,2015-06-03T22:40:09Z,Web Development,https://www.udemy.com/oop-php-object-oriented-programing-with-project-1-course/
473622,Comprehensive TypeScript,TRUE,125,1318,4.2222223,78,51,Intermediate Level,4.5,2015-04-13T19:00:50Z,Web Development,https://www.udemy.com/typescript101/
474076,Expert Retina / HiDPI Graphics in Photoshop & Illustrator,TRUE,195,2067,4.45,8,18,Intermediate Level,1.5,2015-04-26T19:50:34Z,Graphic Design,https://www.udemy.com/mastering-retina-graphics/
474150,Technical Analysis tools for Stocks and Options trading,TRUE,40,3555,4.55,89,11,Intermediate Level,1.5,2015-04-12T18:31:07Z,Business Finance,https://www.udemy.com/technical-analysis-tools-for-stock-trading-and-options-trading/
474212,High performance Stock Trading using key Options techniques,TRUE,40,2103,3.8,15,6,Intermediate Level,1.5,2015-04-12T22:28:45Z,Business Finance,https://www.udemy.com/high-performance-stock-trading-using-options-trading-techniques/
474238,Excel functions to analyze and visualize data,TRUE,20,2283,4.15,54,16,Intermediate Level,2,2015-04-20T18:52:32Z,Business Finance,https://www.udemy.com/basic-excel-functions-to-analyze-large-data/
474928,Intermediate Options trading concepts for Stocks and Options,TRUE,40,2000,4.6,30,9,Intermediate Level,1,2015-04-13T20:28:04Z,Business Finance,https://www.udemy.com/intermediate-options-trading-concepts-for-stocks-and-options-traders/
475032,Collection of Advanced Options concepts for Options traders,TRUE,40,2025,4.05,34,9,Advanced Level,1,2015-04-13T23:02:21Z,Business Finance,https://www.udemy.com/advanced-options-concepts-for-options-stock-traders/
475214,Text based Logo Design for Business Using Adobe Photoshop,TRUE,20,4208,4.05,25,19,Intermediate Level,1,2015-08-03T22:10:33Z,Graphic Design,https://www.udemy.com/text-based-logo-design-using-adobe-photoshop/
475912,Master The Stock Market with practice,TRUE,35,49,4.7,10,42,Intermediate Level,2,2015-05-15T18:04:34Z,Business Finance,https://www.udemy.com/master-the-stock-market-with-practice/
475914,Chugging - it don't mean a thing if it ain't got that swing!,TRUE,200,382,0,21,25,Intermediate Level,2.5,2015-04-20T18:28:10Z,Musical Instruments,https://www.udemy.com/getchugging/
476000,Easy Piano for Kids - Complete Beginner Piano Course,TRUE,115,139,3.8,8,104,Beginner Level,5.5,2015-06-26T22:34:55Z,Musical Instruments,https://www.udemy.com/easy-piano-for-kids-pinogi/
476256,Stock Options Trades Using Interactive Brokers,TRUE,95,1580,4.35,26,14,Intermediate Level,1,2015-09-07T20:21:39Z,Business Finance,https://www.udemy.com/stock-options-trades-using-interactive-brokers/
476268,Options Trading 3 : Advanced Stock Profit and Success Method,TRUE,195,5172,4.013889,34,38,Advanced Level,2.5,2015-05-28T00:14:03Z,Business Finance,https://www.udemy.com/day-trading-stock-options-3/
476324,Guitar - Learn 10 Legendary Chord Progressions for Guitar,TRUE,55,3013,4.3333335,15,28,Beginner Level,1.5,2015-06-14T19:04:21Z,Musical Instruments,https://www.udemy.com/10-beginner-chord-progressions-/
476408,"Learn HTML, A practical guide from scratch to HTML 5",TRUE,100,5715,4,52,31,Intermediate Level,3,2015-04-26T12:35:16Z,Web Development,https://www.udemy.com/learn-html-a-practical-guide-from-scratch-to-html-5/
476622,Basel Norms (Basel 1/ Basel 2/ Basel 3) Simplified,TRUE,40,500,4.6,45,34,Beginner Level,4,2015-04-26T19:26:45Z,Business Finance,https://www.udemy.com/basel_norms_simplified/
476880,Financial Model Fundamentals-Learn the Essential Skills,TRUE,75,47,4.111111,5,27,Intermediate Level,2.5,2015-06-01T20:58:11Z,Business Finance,https://www.udemy.com/financial-model-fundamentals-learn-the-essential-skills/
476988,Guitar - Blues Guitar for Beginners,TRUE,45,2795,4.3,26,25,Beginner Level,1,2015-05-22T20:01:12Z,Musical Instruments,https://www.udemy.com/beginner-blues-guitar/
